X Y Z
-3.82829e+10 1.3029e+11 5.64835e+10
-3.83894e+10 1.30268e+11 5.64745e+10
-3.8496e+10 1.30246e+11 5.64654e+10
-3.86026e+10 1.30224e+11 5.64563e+10
-3.87093e+10 1.30202e+11 5.64472e+10
-3.88161e+10 1.3018e+11 5.6438e+10
-3.89229e+10 1.30158e+11 5.64288e+10
-3.90297e+10 1.30136e+11 5.64196e+10
-3.91367e+10 1.30113e+11 5.64103e+10
-3.92436e+10 1.30091e+11 5.64009e+10
-3.93507e+10 1.30068e+11 5.63916e+10
-3.94578e+10 1.30045e+11 5.63821e+10
-3.95649e+10 1.30022e+11 5.63727e+10
-3.96721e+10 1.29999e+11 5.63632e+10
-3.97793e+10 1.29976e+11 5.63536e+10
-3.98866e+10 1.29953e+11 5.6344e+10
-3.9994e+10 1.2993e+11 5.63343e+10
-4.01014e+10 1.29907e+11 5.63246e+10
-4.02088e+10 1.29883e+11 5.63148e+10
-4.03163e+10 1.2986e+11 5.6305e+10
-4.04238e+10 1.29836e+11 5.62952e+10
-4.05314e+10 1.29812e+11 5.62852e+10
-4.0639e+10 1.29788e+11 5.62753e+10
-4.07467e+10 1.29764e+11 5.62653e+10
-4.08544e+10 1.2974e+11 5.62552e+10
-4.09622e+10 1.29716e+11 5.62451e+10
-4.107e+10 1.29692e+11 5.62349e+10
-4.11778e+10 1.29667e+11 5.62246e+10
-4.12857e+10 1.29643e+11 5.62143e+10
-4.13936e+10 1.29618e+11 5.6204e+10
-4.15015e+10 1.29593e+11 5.61936e+10
-4.16095e+10 1.29568e+11 5.61831e+10
-4.17175e+10 1.29543e+11 5.61726e+10
-4.18255e+10 1.29518e+11 5.6162e+10
-4.19336e+10 1.29493e+11 5.61514e+10
-4.20417e+10 1.29467e+11 5.61407e+10
-4.21498e+10 1.29442e+11 5.61299e+10
-4.22579e+10 1.29416e+11 5.61191e+10
-4.23661e+10 1.2939e+11 5.61082e+10
-4.24742e+10 1.29364e+11 5.60973e+10
-4.25824e+10 1.29338e+11 5.60863e+10
-4.26907e+10 1.29312e+11 5.60752e+10
-4.27989e+10 1.29286e+11 5.60641e+10
-4.29071e+10 1.29259e+11 5.60529e+10
-4.30154e+10 1.29233e+11 5.60417e+10
-4.31237e+10 1.29206e+11 5.60304e+10
-4.3232e+10 1.29179e+11 5.6019e+10
-4.33403e+10 1.29152e+11 5.60076e+10
-4.34486e+10 1.29125e+11 5.59961e+10
-4.35569e+10 1.29098e+11 5.59845e+10
-4.36652e+10 1.29071e+11 5.59729e+10
-4.37735e+10 1.29043e+11 5.59612e+10
-4.38818e+10 1.29016e+11 5.59495e+10
-4.39901e+10 1.28988e+11 5.59377e+10
-4.40984e+10 1.2896e+11 5.59258e+10
-4.42068e+10 1.28932e+11 5.59139e+10
-4.43151e+10 1.28904e+11 5.59019e+10
-4.44234e+10 1.28876e+11 5.58899e+10
-4.45317e+10 1.28848e+11 5.58778e+10
-4.464e+10 1.28819e+11 5.58656e+10
-4.47482e+10 1.2879e+11 5.58534e+10
-4.48565e+10 1.28762e+11 5.58411e+10
-4.49648e+10 1.28733e+11 5.58288e+10
-4.5073e+10 1.28704e+11 5.58164e+10
-4.51812e+10 1.28675e+11 5.58039e+10
-4.52894e+10 1.28646e+11 5.57913e+10
-4.53976e+10 1.28616e+11 5.57788e+10
-4.55058e+10 1.28587e+11 5.57661e+10
-4.5614e+10 1.28557e+11 5.57534e+10
-4.57221e+10 1.28527e+11 5.57406e+10
-4.58302e+10 1.28497e+11 5.57278e+10
-4.59383e+10 1.28467e+11 5.57149e+10
-4.60464e+10 1.28437e+11 5.57019e+10
-4.61544e+10 1.28407e+11 5.56889e+10
-4.62625e+10 1.28377e+11 5.56759e+10
-4.63705e+10 1.28346e+11 5.56627e+10
-4.64784e+10 1.28316e+11 5.56496e+10
-4.65864e+10 1.28285e+11 5.56363e+10
-4.66943e+10 1.28254e+11 5.5623e+10
-4.68022e+10 1.28223e+11 5.56097e+10
-4.691e+10 1.28192e+11 5.55962e+10
-4.70178e+10 1.28161e+11 5.55828e+10
-4.71256e+10 1.2813e+11 5.55692e+10
-4.72333e+10 1.28098e+11 5.55556e+10
-4.73411e+10 1.28067e+11 5.5542e+10
-4.74487e+10 1.28035e+11 5.55283e+10
-4.75564e+10 1.28003e+11 5.55146e+10
-4.7664e+10 1.27971e+11 5.55008e+10
-4.77716e+10 1.27939e+11 5.54869e+10
-4.78791e+10 1.27907e+11 5.5473e+10
-4.79866e+10 1.27875e+11 5.5459e+10
-4.8094e+10 1.27842e+11 5.5445e+10
-4.82015e+10 1.2781e+11 5.54309e+10
-4.83088e+10 1.27777e+11 5.54168e+10
-4.84162e+10 1.27745e+11 5.54026e+10
-4.85234e+10 1.27712e+11 5.53883e+10
-4.86307e+10 1.27679e+11 5.5374e+10
-4.87379e+10 1.27646e+11 5.53597e+10
-4.88451e+10 1.27613e+11 5.53453e+10
-4.89522e+10 1.27579e+11 5.53309e+10
-4.90592e+10 1.27546e+11 5.53164e+10
-4.91663e+10 1.27513e+11 5.53018e+10
-4.92733e+10 1.27479e+11 5.52872e+10
-4.93802e+10 1.27445e+11 5.52726e+10
-4.94871e+10 1.27411e+11 5.52579e+10
-4.95939e+10 1.27378e+11 5.52431e+10
-4.97007e+10 1.27344e+11 5.52283e+10
-4.98075e+10 1.27309e+11 5.52135e+10
-4.99142e+10 1.27275e+11 5.51986e+10
-5.00208e+10 1.27241e+11 5.51836e+10
-5.01274e+10 1.27206e+11 5.51686e+10
-5.0234e+10 1.27172e+11 5.51536e+10
-5.03405e+10 1.27137e+11 5.51385e+10
-5.0447e+10 1.27102e+11 5.51233e+10
-5.05534e+10 1.27068e+11 5.51081e+10
-5.06597e+10 1.27033e+11 5.50929e+10
-5.0766e+10 1.26998e+11 5.50776e+10
-5.08723e+10 1.26963e+11 5.50623e+10
-5.09785e+10 1.26927e+11 5.50469e+10
-5.10846e+10 1.26892e+11 5.50315e+10
-5.11907e+10 1.26856e+11 5.5016e+10
